epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,673.074,0.89672,1.5429,1.06453,0.92372,0.88605,0.94496,0.70813,0.83188,1.28981,0.99853,0.000661972,0.000661972,0.000661972
2,750.001,0.8751,0.92777,1.03254,0.88179,0.90967,0.93725,0.70112,0.83165,1.12921,1.01474,0.00130233,0.00130233,0.00130233
3,827.471,0.8821,0.74188,1.02851,0.90525,0.89634,0.93238,0.71411,0.85957,0.99703,1.01689,0.00191629,0.00191629,0.00191629
4,905.37,0.85807,0.6533,1.02863,0.94304,0.97592,0.95926,0.73937,0.81905,0.57234,1.0099,0.0018812,0.0018812,0.0018812
5,982.21,0.83216,0.59386,1.01346,0.93899,0.9385,0.96656,0.7647,0.75486,0.56331,0.95711,0.0018416,0.0018416,0.0018416
6,1061.35,0.80395,0.54823,1.00697,0.98132,0.92276,0.96839,0.80623,0.6766,0.49266,0.94354,0.001802,0.001802,0.001802
7,1138.13,0.79292,0.53469,0.99876,0.97939,0.94919,0.9801,0.79195,0.66793,0.42725,0.92696,0.0017624,0.0017624,0.0017624
8,1213.96,0.76828,0.51697,0.99222,0.97506,0.97764,0.9928,0.83719,0.61753,0.40072,0.90534,0.0017228,0.0017228,0.0017228
9,1292.2,0.76399,0.50031,0.98626,0.97925,0.95911,0.98649,0.82402,0.67164,0.39914,0.93757,0.0016832,0.0016832,0.0016832
10,1368.21,0.74525,0.49127,0.97975,0.98111,0.95732,0.98692,0.81877,0.66946,0.41318,0.91662,0.0016436,0.0016436,0.0016436
11,1446.01,0.74162,0.48103,0.97752,0.98029,0.97967,0.98589,0.83613,0.59078,0.36543,0.89886,0.001604,0.001604,0.001604
12,1522.31,0.72207,0.4612,0.97137,0.9723,0.97764,0.98691,0.83312,0.58753,0.37258,0.88825,0.0015644,0.0015644,0.0015644
13,1599.44,0.7017,0.45176,0.96534,0.97577,0.98216,0.99276,0.83236,0.61161,0.35985,0.9012,0.0015248,0.0015248,0.0015248
14,1674.61,0.69648,0.44122,0.96218,0.99007,0.97764,0.99366,0.85678,0.5583,0.32894,0.8811,0.0014852,0.0014852,0.0014852
15,1751.67,0.68527,0.43192,0.95509,0.97149,0.9939,0.99194,0.86065,0.57407,0.32154,0.87979,0.0014456,0.0014456,0.0014456
16,1827.74,0.69215,0.43503,0.9526,0.98886,0.98374,0.99295,0.85721,0.57714,0.33417,0.88436,0.001406,0.001406,0.001406
17,1904.92,0.66894,0.41855,0.94986,0.98163,0.97742,0.98971,0.8633,0.54956,0.31813,0.8848,0.0013664,0.0013664,0.0013664
18,1980.39,0.65095,0.41147,0.94173,0.98567,0.97888,0.99362,0.86867,0.53503,0.30566,0.87276,0.0013268,0.0013268,0.0013268
19,2057.93,0.66835,0.41873,0.94845,0.9759,0.98984,0.99364,0.87726,0.53009,0.30301,0.87755,0.0012872,0.0012872,0.0012872
20,2133.82,0.65178,0.40659,0.94575,0.982,0.98171,0.99241,0.87878,0.52949,0.29736,0.87323,0.0012476,0.0012476,0.0012476
21,2210.15,0.63977,0.40108,0.93726,0.98469,0.98577,0.99385,0.87041,0.54518,0.29979,0.87798,0.001208,0.001208,0.001208
22,2286.72,0.62909,0.39101,0.93422,0.98177,0.98505,0.9928,0.88519,0.50914,0.28696,0.86509,0.0011684,0.0011684,0.0011684
23,2363.45,0.62998,0.38897,0.93517,0.98578,0.98602,0.99396,0.88582,0.50901,0.27903,0.86353,0.0011288,0.0011288,0.0011288
24,2439.59,0.62128,0.38283,0.93683,0.98379,0.98672,0.99408,0.88482,0.50801,0.29553,0.86509,0.0010892,0.0010892,0.0010892
25,2514.95,0.6103,0.38022,0.93264,0.98531,0.9878,0.99356,0.89307,0.4949,0.27754,0.85734,0.0010496,0.0010496,0.0010496
26,2592.08,0.61389,0.37821,0.92823,0.98181,0.98719,0.99328,0.86153,0.58727,0.30534,0.89039,0.00101,0.00101,0.00101
27,2667.55,0.60954,0.37211,0.93136,0.98776,0.98393,0.99397,0.88444,0.52588,0.27464,0.87367,0.0009704,0.0009704,0.0009704
28,2745.16,0.59712,0.36901,0.92694,0.98979,0.98477,0.99433,0.87649,0.54565,0.2887,0.87415,0.0009308,0.0009308,0.0009308
29,2820.81,0.59805,0.36654,0.92879,0.98182,0.98789,0.99365,0.87718,0.53961,0.28645,0.87658,0.0008912,0.0008912,0.0008912
30,2897.83,0.59961,0.37127,0.92899,0.9878,0.98738,0.99344,0.90292,0.47562,0.26627,0.85182,0.0008516,0.0008516,0.0008516
31,2973.18,0.58091,0.35387,0.92072,0.98574,0.98374,0.99425,0.88672,0.50649,0.2819,0.86572,0.000812,0.000812,0.000812
32,3049.03,0.56789,0.34985,0.91359,0.98188,0.99104,0.99442,0.90201,0.47748,0.25824,0.85125,0.0007724,0.0007724,0.0007724
33,3125.79,0.5703,0.34597,0.91371,0.9772,0.98984,0.99399,0.9005,0.4848,0.2741,0.85389,0.0007328,0.0007328,0.0007328
34,3201.12,0.55942,0.33936,0.91088,0.98582,0.98887,0.99419,0.90971,0.45524,0.25594,0.84279,0.0006932,0.0006932,0.0006932
35,3278.51,0.55091,0.3338,0.91216,0.98576,0.98472,0.99429,0.89408,0.48316,0.2624,0.84997,0.0006536,0.0006536,0.0006536
36,3354.3,0.56226,0.3349,0.91172,0.98579,0.98678,0.99434,0.89353,0.50402,0.26167,0.85929,0.000614,0.000614,0.000614
